,timeOnPage,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,interaction_count,mobile,x,y
99,131166,1804.0,2,0,95,22,25,10,0,14,4,14,4,2,0,0,0,0,32031,51394,42068,0,0,0,18,0,-0.780601,1.4221799
100,268630,3236.0,5,0,0,0,0,0,0,5,4,5,4,0,0,0,1,0,17496,123915,89304,29297,645,0,9,0,-1.9384031,2.3277369
101,88644,3326.0,6,0,61,46,47,2,2,9,8,9,8,0,0,2,2,0,17953,28486,12502,17218,801,0,17,0,-2.7484658,0.0014771026
102,456019,3300.0,17,0,342,208,22,4,2,28,38,28,38,2,1,12,6,1,250,90600,132479,81106,1734,0,66,0,-5.1812153,1.6855142
103,142930,3134.0,7,0,223,101,0,8,0,28,14,28,14,1,0,4,8,0,45158,18768,31845,45008,542,0,42,0,-4.7776732,-1.7521927
104,108516510,3311.0,10,0,81,89,0,2,4,14,13,14,13,1,1,0,0,1,14598,3539,107525636,13159,947987,0,27,0,-7.8190365,6.539486
105,188829,2811.0,6,0,90,53,20,0,0,8,10,8,10,0,0,2,0,0,16209,130472,9565,6149,0,0,18,0,1.7520311,4.2836018
106,148519,3306.0,5,0,136,43,27,6,0,14,8,14,8,1,0,2,2,0,53781,42889,30875,18654,534,0,22,0,-1.1431421,-0.21178043
107,32092,3293.0,5,0,13,21,0,0,0,6,4,6,4,0,0,2,2,0,3356,8752,3250,15238,867,0,10,0,-6.6142,-0.8735389
108,14039,969.0,2,0,3,3,0,0,0,4,4,4,4,0,0,0,0,0,1961,6944,0,0,0,0,8,0,1.7868944,2.31112
109,301694,3471.0,14,0,384,133,8,6,4,34,30,34,30,1,1,4,4,1,7385,67968,70094,102923,8899,151,64,0,-6.262779,0.825404
110,25664,2761.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049,10178,3449,2541,0,0,0,0,-0.3024703,1.6328566
111,39283,3259.0,5,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1552,4499,11087,2590,1441,0,4,0,-3.8186288,0.42059007
112,1053255,1314.0,7,0,16,7,0,6,0,9,6,9,6,1,0,0,0,0,2365,1047593,0,0,0,0,15,0,1.3599691,8.154137
113,87513,3252.0,5,0,132,56,4,4,2,7,8,7,8,0,0,4,2,0,205,3617,24982,30539,783,0,15,0,-7.591081,1.0196317
114,63991,2993.0,5,0,76,43,0,2,4,6,12,6,12,0,0,4,2,0,238,1295,17714,14719,316,0,18,0,-6.738149,0.99425524
115,2625270,3601.0,10,0,266,149,22,10,10,46,36,46,36,1,0,4,10,0,30053,101834,36271,60429,1423,1156,82,0,-4.3916774,-5.351433
116,32771236,268.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31401127,0,0,0,0,0,0,0,6.900976,-8.567159
117,16814,1447.0,2,0,11,7,9,0,0,4,2,4,2,0,0,0,0,0,3157,4529,450,0,0,0,6,0,0.3673744,-0.40002665
118,299769,3024.0,6,0,186,67,0,0,0,10,10,10,10,0,0,6,4,0,15395,8756,1618,68369,366,0,20,0,-5.8772054,-2.9814866
119,117169,3782.0,17,0,120,49,15,6,6,10,12,10,12,1,1,6,4,1,2450,23200,32128,51116,5379,1899,22,0,-7.665348,0.4599992
120,10536,2836.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4069,1450,1617,1433,0,0,0,0,0.30194566,-1.9473222
121,289319,3302.0,6,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,209672,26663,28490,23573,827,0,1,0,3.7736075,-4.35055
122,28968886,178.0,1,0,12,8,0,0,0,2,2,2,2,0,0,0,0,0,310,0,0,0,0,0,4,0,-7.101884,-7.480132
123,410253,3604.0,8,0,221,167,0,2,2,6,8,6,8,2,1,2,2,1,56340,30865,35973,56683,221020,856,14,0,-1.5832183,4.4413652
124,127695,3329.0,6,0,119,60,0,4,4,16,10,16,10,0,0,4,6,0,38287,14856,24206,43545,5544,0,26,0,-5.121517,-1.8718419
125,29310,2772.0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3181,11815,3449,1733,0,0,1,0,-0.06990897,1.617346
126,117412,125.0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,736,0,0,0,0,0,7,0,-5.1896286,-8.127171
127,56353,2447.0,4,0,0,0,0,0,4,17,8,17,8,0,1,2,4,1,51133,1216,3748,234,0,0,25,0,5.7610416,-6.8205295
128,708950,1333.0,3,0,38,16,0,0,0,4,2,4,2,0,0,0,0,0,19841,7216,466,0,0,0,6,0,-3.522061,-7.384726
129,7344965,3330.0,14,0,176,142,13,4,0,44,30,44,30,1,0,4,2,0,6795913,21554,23113,71626,4145,0,74,0,7.000686,-7.7294216
130,112372,3502.0,14,0,92,44,8,2,2,12,6,12,6,0,0,2,2,0,3725,8418,42645,27477,549,1083,18,0,-6.6930823,2.1639028
131,104553,3080.0,5,0,97,47,20,2,4,8,18,8,18,2,1,4,2,1,242,31596,33016,23823,1351,0,26,0,-4.3910084,1.789675
132,18990,2173.0,3,0,8,11,0,0,0,2,3,2,3,0,0,0,0,0,238,3215,3620,1568,0,0,5,0,-2.8373194,-1.5143858
133,52842,3080.0,5,0,32,17,9,4,2,6,6,6,6,2,0,4,2,0,597,9839,17016,15859,891,0,12,0,-6.506984,1.7142467
134,200339,3211.0,5,0,158,78,27,2,2,8,8,8,8,0,0,2,2,0,28205,63671,41610,49112,2703,0,16,0,-3.5021152,0.2862973
135,136682,2999.0,4,0,15,36,0,2,4,8,14,8,14,1,1,4,2,1,38498,37378,50356,8882,990,0,22,0,-1.9918338,0.504881
136,6388,3370.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,1217,667,734,1101,0,0,0,-0.44683495,-1.0758502
137,423088,3375.333251953125,8,0,252,121,18,16,12,34,24,34,24,0,0,6,4,0,49074,75564,140393,129688,17704,0,58,0,-5.65114,0.6442861
138,805836,3713.60009765625,7,0,109,83,18,6,6,16,12,16,12,1,1,2,2,1,433,10745,30802,19724,550,3184,28,0,-4.9237123,-5.237436
139,204113,3305.0,6,0,64,42,0,0,0,6,6,6,6,0,0,0,0,0,1924,173965,1665,2176,1731,0,12,0,1.8155181,6.3534665
140,9902,2958.0,4,0,58,23,0,2,2,7,3,7,3,0,0,1,4,0,215,2056,2556,611,694,0,10,0,-1.5633961,-0.40998712
141,6263,3428.0,4,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,420,4807,333,132,482,0,2,0,1.1961229,1.254866
142,686049,3506.5,12,0,269,135,8,4,2,20,16,20,16,1,1,2,2,1,26121,85546,79446,57522,6752,3934,36,0,-3.7324364,-2.7214966
143,375431,2806.0,6,0,92,57,9,2,2,10,16,10,16,0,0,2,2,0,9466,20418,19266,19651,0,0,26,0,-4.3934727,-4.403437
144,35706,1110.4000244140623,2,0,28,23,0,0,0,2,6,2,6,0,0,0,0,0,1117,1208,0,0,0,0,8,0,-3.1839657,-6.050494
145,90941,3292.0,7,0,70,60,36,2,2,7,12,7,12,0,0,6,2,0,701,16771,26307,19189,197,0,19,0,-5.797074,1.5601556
146,10609800,3484.0,24,0,0,0,0,8,4,0,0,0,0,1,1,0,0,1,10300,118500,139000,63800,9800,4600,0,0,-5.2964344,-6.205137
147,91924,3300.0,9,0,72,31,0,0,0,7,10,7,10,0,0,2,2,0,8916,29165,16164,33584,2600,0,17,0,-4.9958305,0.05394849
148,227234,3408.0,6,0,126,129,30,6,10,16,26,16,26,4,1,2,2,1,8522,77549,70610,31705,5432,0,42,0,-3.2493331,1.87697
149,102447,3228.0,5,0,45,25,8,4,0,8,4,8,4,1,0,2,2,0,298,15164,19803,13791,24069,0,12,0,-3.498317,3.2746766
150,176755,3052.0,7,0,142,69,10,6,4,14,12,14,12,2,1,4,2,1,1199,20570,79676,18486,101,0,26,0,-5.9498124,3.0274127
151,565980,3321.0,6,0,92,32,0,4,0,6,6,6,6,0,0,4,2,0,1923,1160,26280,23455,967,0,12,0,-5.1305795,-4.834655
152,46371,3389.0,5,0,58,45,0,0,0,8,10,8,10,0,0,6,2,0,766,2901,3233,14499,619,0,18,0,-7.156532,-1.3724111
153,70435,3186.0,5,0,114,59,0,0,0,11,8,11,8,0,0,4,2,0,1278,9835,10175,27413,394,0,19,0,-7.3448563,-0.31080154
154,68087,3292.0,5,0,55,22,10,4,6,11,8,11,8,1,0,0,2,0,5665,13650,26751,6533,1500,0,19,0,-4.519466,2.3805537
155,51767,1709.0,2,0,16,15,0,2,0,4,2,4,2,0,0,0,0,0,24654,21965,4280,0,0,0,6,0,3.6094527,-0.21472509
156,17314,1146.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7517,2304,1218,0,0,0,0,0,1.4934226,-2.8521786
157,86842,1115.5,2,0,12,12,0,0,0,2,4,2,4,0,0,0,0,0,13323,48973,0,0,0,0,6,0,2.1551158,2.7638288
158,36678,3316.0,5,0,20,17,0,0,0,4,4,4,4,0,0,0,0,0,2122,4356,4652,833,217,0,8,0,-2.7576134,-2.740513
159,37222,2017.0,4,0,9,0,0,0,0,2,0,2,0,0,0,0,0,0,9396,12821,10626,35,0,0,2,0,-0.8100599,1.0109494
160,133170,3615.0,11,0,161,99,19,6,8,18,20,18,20,1,0,6,4,0,165,10800,37285,56020,1395,1439,38,0,-8.129131,0.5642719
161,99819,3250.0,5,0,95,70,7,6,4,14,14,14,14,0,0,4,4,0,27616,5717,21501,19916,2283,0,28,0,-4.338668,-1.3663306
162,716182,1711.0,6,0,0,11,1,0,2,0,2,0,2,0,0,0,0,0,298,1919,7166,0,0,0,2,0,-5.509831,-6.6423116
163,126772,2903.5,5,0,6,20,2,2,14,2,14,2,14,0,0,0,0,0,8901,10471,25678,75443,66,0,16,0,-8.599894,-0.98696023
164,45897,3408.0,10,0,40,31,0,4,0,9,6,9,6,1,0,4,2,0,20051,1666,6164,12117,4887,0,15,0,-4.16604,-2.2405295
165,819846,3604.0,6,0,182,67,14,4,6,18,14,18,14,1,0,2,2,0,58027,13188,25839,33954,4679,539,32,0,-4.2407537,-4.926343
166,57946,3224.0,5,0,65,44,0,2,2,8,8,8,8,0,0,2,2,0,84,15927,5554,23397,683,0,16,0,-6.1950374,-0.44877335
167,33818,1300.0,3,0,4,7,0,0,0,2,2,2,2,0,0,0,0,0,56,636,52,0,0,0,4,0,-3.3119152,-6.1159406
168,133486,3244.0,9,0,159,78,17,8,6,26,28,26,28,1,0,8,4,0,5238,12235,27205,39845,5552,0,54,0,-6.8978114,0.33156353
169,567010,3545.0,10,0,190,91,23,4,6,16,20,16,20,1,1,2,2,1,3463,38125,58959,70253,17159,7153,36,0,-4.69257,-3.1478264
170,61305,3493.0,5,0,48,26,23,2,0,10,6,10,6,0,0,4,2,0,17249,16256,4202,20269,2517,433,16,0,-4.139018,-1.1984942
171,47650,3434.0,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,9568,3380,27337,2219,2199,0,1,0,-5.4963546,3.4461765
172,120985,3250.0,5,0,122,54,12,2,4,6,10,6,10,0,0,4,2,0,15081,20218,25787,55046,1552,0,16,0,-7.0921574,-0.7499121
173,3268458,3387.0,9,0,356,92,0,0,0,10,4,10,4,0,0,2,2,0,489,17933,1467,85325,10525,0,14,0,-5.42007,-5.816514
174,42427,1701.3333740234375,2,0,28,30,0,2,0,8,10,8,10,0,0,0,0,0,11284,2783,26243,0,0,0,18,0,-5.355939,3.467879
175,15804,70.0,0,0,0,0,0,0,0,8,6,8,6,0,0,0,0,0,180,0,0,0,0,0,14,0,-4.4921412,-7.8598895
176,129256,3626.39990234375,9,0,164,121,5,2,4,16,14,16,14,0,0,2,2,0,1242,12294,37862,36897,867,38548,30,0,-4.264368,4.844298
177,199562,3884.0,22,0,32,38,16,6,8,18,36,18,36,0,0,10,6,0,15050,82114,45981,19100,33146,3716,54,0,-1.7847012,2.5294147
178,62801,3130.0,5,0,49,32,0,0,0,4,8,4,8,0,0,6,2,0,26778,12067,1584,19983,183,0,12,0,-4.286032,-2.1519532
179,86984,3444.0,10,0,73,79,0,2,2,11,8,11,8,1,0,0,0,0,1049,3451,19099,2150,2842,293,19,0,-3.502415,-1.9779471
